Algorithm,Generation,median,q1,q3
qehvi,6,0.003061263421623363,0.0007753356671826178,0.015929382974820053
qehvi,7,0.003061263421623363,0.0007753356671826178,0.015929382974820053
qehvi,8,0.003061263421623363,0.0007753356671826178,0.015929382974820053
qehvi,9,0.003061263421623363,0.0007753356671826178,0.015929382974820053
qehvi,10,0.003061263421623363,0.0007753356671826178,0.015929382974820053
qehvi,11,0.003061263421623363,0.0007753356671826178,0.015929382974820053
qehvi,12,0.003061263421623363,0.0007753356671826178,0.015929382974820053
qehvi,13,0.003061263421623363,0.0007753356671826178,0.015929382974820053
qehvi,14,0.003061263421623363,0.0007753356671826178,0.015929382974820053
qehvi,15,0.003061263421623363,0.0007753356671826178,0.015929382974820053
qehvi,16,0.003061263421623363,0.0007753356671826178,0.015929382974820053
qehvi,17,0.0030450970282831324,0.0017239092084043285,0.003283921152735262
qehvi,18,0.0030450970282831324,0.0017239092084043285,0.003283921152735262
qehvi,19,0.0030450970282831324,0.0017239092084043285,0.003283921152735262
qehvi,20,0.0030450970282831324,0.0017239092084043285,0.003283921152735262
qehvi,21,0.0030450970282831324,0.0017239092084043285,0.003283921152735262
qehvi,22,0.0030450970282831324,0.0017239092084043285,0.003283921152735262
qehvi,23,0.0030450970282831324,0.0017239092084043285,0.003283921152735262
qehvi,24,0.0030450970282831324,0.0017239092084043285,0.003283921152735262
qehvi,25,0.0030450970282831324,0.0017239092084043285,0.003283921152735262
qehvi,26,0.0030450970282831324,0.0017239092084043285,0.003283921152735262
qehvi,27,0.0030450970282831324,0.0017239092084043285,0.003283921152735262
qehvi,28,0.0030450970282831324,0.0017239092084043285,0.003283921152735262
qehvi,29,0.0030450970282831324,0.0017239092084043285,0.003283921152735262
qehvi,30,0.0030450970282831324,0.0017239092084043285,0.003283921152735262
sms-emoa,1,0.06891336393646091,0.033540063516217224,0.1741538371610353
sms-emoa,2,0.07944462114227324,0.041224188031600426,0.18214968406229548
sms-emoa,3,0.08353962771037726,0.04823083003624955,0.18334870694705893
sms-emoa,4,0.08730013885698448,0.05100751421514392,0.1929742059002459
sms-emoa,5,0.09029399605365301,0.05920041738586518,0.19998418852630115
sms-emoa,6,0.095933432782463,0.061547314144816144,0.2064705678168487
sms-emoa,7,0.0946020868487103,0.05401454485158603,0.20327641322743575
sms-emoa,8,0.09512199949577933,0.05467477112947966,0.21525483701662124
sms-emoa,9,0.09020673353340856,0.05162181333548586,0.20930089805075255
sms-emoa,10,0.08100386652864672,0.040284122555560575,0.19565095350413528
sms-emoa,11,0.06973088513675155,0.03693669152432892,0.19543218338547816
sms-emoa,12,0.06752991042694002,0.039890879783001466,0.1915532492953434
sms-emoa,13,0.0676125826602702,0.04252547432572673,0.18619851863963216
sms-emoa,14,0.06869850703134432,0.04375869877481546,0.1502794415966613
sms-emoa,15,0.06954265222530037,0.04280533829369132,0.15667188622006872
sms-emoa,16,0.07538656039225537,0.04408923298944945,0.14981086383888242
sms-emoa,17,0.07297654366182164,0.042826895848446324,0.13529131697712382
sms-emoa,18,0.07335503577542352,0.044312601934276025,0.1375228313477233
sms-emoa,19,0.0758300464493796,0.0503023079836228,0.14920199545498503
sms-emoa,20,0.07879672197068263,0.05592516782546918,0.14401955564415453
sms-emoa,21,0.08031818096793465,0.05770159525679043,0.15229253431095868
sms-emoa,22,0.07979932518107016,0.057495528396360226,0.15163960499219364
sms-emoa,23,0.08238449388216217,0.05751457040263224,0.1677781216474854
sms-emoa,24,0.08346484586860198,0.058726310534436305,0.16163289406790882
sms-emoa,25,0.08408763808465036,0.057006990994995344,0.16931555629131215
sms-emoa,26,0.0834696282971152,0.0567408459482205,0.16253362462707582
sms-emoa,27,0.08705099113933248,0.05978886365531384,0.17431283666298764
sms-emoa,28,0.08824528919139014,0.06366893765878438,0.1749453068970499
sms-emoa,29,0.08864857145046695,0.06711996653587587,0.17744346914606057
sms-emoa,30,0.0875836216659365,0.0653967551309549,0.18610713499729042
sms-emoa,31,0.09128492777121933,0.06554794623316529,0.18874742877112244
sms-emoa,32,0.09207627221681008,0.06752637112947116,0.18793988891036875
sms-emoa,33,0.09278268160808315,0.06602723850422018,0.18827121135897862
sms-emoa,34,0.09363040630656544,0.06613368096219949,0.18870185678403298
sms-emoa,35,0.09281737347194227,0.05839540739061578,0.19216864605949047
sms-emoa,36,0.09284350004269507,0.05871064023651542,0.19318900182810514
sms-emoa,37,0.0949997534688631,0.05893522237213288,0.19602060357842505
sms-emoa,38,0.09535523935084245,0.05893522237213288,0.19683806995005046
sms-emoa,39,0.09634602238049583,0.0603217471261944,0.1987501074862989
sms-emoa,40,0.0964732427970953,0.06106200572470902,0.19909671852649635
sms-emoa,41,0.09714058412576425,0.06106500824250391,0.20018717347652581
sms-emoa,42,0.09744358386364219,0.06719870943019288,0.20029248885133205
